customer,type,project,product,code,location,quantity,year
HOME LANE ,Residential,RESIDENTIAL ,LAM ,21023 MR   ,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14673,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,49962 HGL,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,21055 MR AND 22091,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,"22091 , 14542",,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,"21055 HGL , 21187 HGL ",,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,10544,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,"22122 HGL,22091 HGL",,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,"21023 HGL,22091 HGL ",,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,"22091 HGL, 21057 MR ",,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,44708 NL ,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,22122 HGL AND 22091 HGL ,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14542,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,44703,,10,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,21023MR ,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,10699,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,10544,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,21172 MR,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,22105 HGL ,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,22122MR ,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,10510,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,10544,,..,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,21162 MR,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,10544,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,10699,,,2017
IIVSPACE ,Residential,RESIDENTIAL ,LAM,22119MR,,,2017
Mr. SHANKAR ,Commercial,APPASAMI,FLEX MR +,22091 AND 21024,,15 &12,2017
Mr. SHANKAR ,Commercial,APPASAMI,FLEX MR +,21024,,15 &12 ,2017
Mr. SHANKAR ,Commercial,APPASAMI,FLEX MR +,22091&21024,,15 &12,2017
Mr. SHANKAR ,Commercial,APPASAMI,FLEX MR +,22091&21024,,15&12,2017
Mr. SHANKAR ,Commercial,APPASAMI,FLEX MR +,22091,,15&12,2017
Mr. SHANKAR ,Commercial,APPASAMI,LAM SF ,44620& 14140,,3&3,2017
Mr. MUTHUKUMAR ,Residential,PRESGTIGE BELLA VISTA ,LAM MR +&HGL ,21163&21003 ,,4&3,2017
Mr. MUTHUKUMAR ,Residential,PRESGTIGE BELLA VISTA ,LAM MR +,21163&2114,,4&1,2017
Mr. MUTHUKUMAR ,Residential,PRESGTIGE BELLA VISTA ,FLEX MR +,21065 & 22091,,7&7,2017
Mr.RAJARAM ,Commercial,JAIN HOUSING ,FLEX MR+,21055,,12,2017
Mr.RAJARAM ,Commercial,JAIN HOUSING ,LAM SF & DECO LINER ,14620,,10&70,2017
Mr.RAJARAM ,Commercial,JAIN HOUSING ,LAM SF,14620,,10,2017
Mr.RAJARAM ,Commercial,JAIN HOUSING ,LAM SF& DECO LINER ,14620,,10&70,2017
Mr.RAJARAM ,Commercial,JAIN HOUSING ,LAM SF,14142,,2,2017
Mr.SAMPATH ,Commercial,JAIN HOUSING ,FLEX MR +,21163&21057,,10&10,2017
Mr.SAMPATH ,Commercial,JAIN HOUSING ,FLEX MR +,22091&21114,,4&4,2017
Mr.SAMPATH ,Commercial,JAIN HOUSING ,FLEX MR +,21163,,10,2017
Mr.SASI KUMAR ,Commercial,CASA GRANDE ,LAM SF ,14541,,15,2017
Mr.SASI KUMAR ,Commercial,CASA GRANDE ,LAM SF ,14542&22091,,15&3,2017
Mr.SASI KUMAR ,Commercial,CASA GRANDE ,LAM SF ,14541,,2,2017
Mr.SASI KUMAR ,Commercial,CASA GRANDE ,LAM SF ,14542& 22091,,15&3,2017
Mr.SASI KUMAR ,Commercial,CASA GRANDE ,LAM SF ,14142,,3,2017
Mr.RAJU ,Residential,AKSHAYA ,MR+,21162&22091,,5&5,2017
Mr. RAJU ,Residential,AKSHAYA ,MR+,21065,,15,2017
Mr.SASI KUMAR ,Residential,CASA GRANDE ,LAM SF ,14542,,15,2017
JAGRUT ,Residential,RESIDENTIAL ,LAM ,22091 MR &21163 MR,,6 SHTS (3 EACH ),2015
JAGRUT ,Residential,RESIDENTIAL ,LAM,49953,,8 SHEETS ,2015
BHAGWAN INTERIORS ,Commercial,SHOWROOM ,LAM,21057,,2,2017
BHAGWAN INTERIORS ,Commercial,SHOWROOM ,LAM,"44757 CMT ,40756 CMT ,40214",,30 SHEETS ,2017
BHAGWAN INTERIORS ,Commercial,SHOWROOM ,LAM,22099 SF ,,2 SHEETS ,2017
AMAR ARCHITECTS ,Commercial,T2T OFFICE RENOVATION ,LAM,44757 CMT RH ,,,2017
ANSARI ASSOCIATES ,Residential,CORNER HOUSE ,LAM,21091 MR+,,,2017
ANSARI ASSOCIATES ,Commercial,BEAUTY SALOON ,LAM,21057 MR+,,,2017
ANSARI ASSOCIATES ,Commercial,FAIRY ,LAM,10099,,,2017
ANSARI ASSOCIATES ,Commercial,SHRAY SOFTWARES,LAM,21091 MR+,,,2017
ANSARI ASSOCIATES ,Commercial,ETA LOGISTICS ,LAM,99987,,,2017
ANSARI ASSOCIATES ,Commercial,TILES SHOWROOM ,LAM,44279 CMT ,,,2017
SHOMLI INTERIORS ,Commercial,POORVIKA MOBIES ,LAM,49931,,,2017
ZEBRO OFFICEMATE ,Commercial,TAFE ,PRELAM ,22091,,27,2018
LARSEN AND TOUBRO LIMITES ,Commercial,HIGH RISE MULTISTORIED OFFICE BUILDING ,ZMS NYLON ,"22091 , 21055, 21142& 22197",,120,2017
UTKAL BUILDERS LTD.,Commercial,UTKAL SIGNATURE ,ZMS NYLON SERIES &UMP,21091&10858,,71,2012
GODREJ AND BOYCE ,Commercial,DONGFRANG ELECTRIC ,ZMS,,,138 NOS ,2016
DREAM GATEWAY ,Commercial,HOLIDAY INN ,ZMS ,,,14 NOS ,2016
ASCLEPIUS HOSPITAL ,Commercial,HOSMEC,ZMS,,,20 NOS ,2017
MAIN GROUP ,Commercial,MAIN CASADONA ,ZMS ,,,98 NOS ,2018
ARCHEE,Commercial,PWC,ZMS ,,,24 NOS ,2017
UNIMARK ,Commercial,STAR MALL ,ZMS ,,,25 NOS ,2018
SRI SRI ACADEMY ,Commercial,SRI SRI ACADEMY ,LOCKERS ,,,"A4,10 NOS ",2017
SUN PHARMA ,Commercial,SUN PHARMA ,CELING HUNGS SERIES ,,,22NOS ,2017
,Commercial,DLF MALL SAKET ,CUBICLE ,12mm BOXUP ,,30,
PANCHSHIL REALTY ,Commercial,WORLD TRADE CENTRE ,CUBICLE ,MERINO CUBICLES (TITAN BOXUP 18 MM),,100,2017
SHROFF AMIT INFRA ,Commercial,RUBY HALL WANOWORIE ,CUBICLE ,MERINO CUBICLES (TITAN BOXUP 18 MM),,94,2017
WORLD SPRITUAL TRUST ,Commercial,WORLD RENEWAL SPIRITUAL CENTRE ,CUBICLE ,MERINO CUBICALES (ZMS SS),,8,2017
HEERA SOFTWARE ,Commercial,HEERA SOFTWARE ,CUBICLE ,MERINO CUBICALES  ( ZMS NYLON ),,3,2018
PANCHSHIL REALTY ,Commercial,EON PHASE I,CUBICLE ,MERINO CUBICALES (TITAN BOXUP 18 MM),,384,2012
KOLTE PATIL REAL ESTATE ,Commercial,CITY VISTA ,CUBICLE ,MERINO CUBICALES (ZMS NYLON),,24,2017
TEJFIRE SAFETY PVT LTD ,Commercial,TEJFIRE ,CUBICLE ,MERINO CUBICALES (ZMS SS),,1,2017
DPS,Commercial,DPS AGARTALA ,ZMS ,,,14,2018
L&T ,Commercial,HIDCO KOLKATA ,TITAN STANDARD 18 MM,,,90,2017
URBANA ,Commercial,URBANA CLUB ,ZMS ,,,20,2017
NARSI INTERIORS ,Commercial,CENTURY HEAD OFFICE ,TITAN STANDARD ,,,36,2018
BISHUA CONSTRUCTION ,Commercial,MES SHILLONG ,ZMS ,,,4,2018
DPS RUBY ,Commercial,OM DAYAL INSTITUTE ,UMP,,,15,2016
DPS ,Commercial,DPS NEWTOWN KOLKATA ,ZMS ,,,14,2016
